Timestamp;a;b;q;d;hElAngle;hElvelocity
0;685;-723;807;486;-1009;42
1000;669;-931;729;740;798;42
2000;701;-1267;447;1404;2650;42
3000;893;-1571;315;1638;4762;42
4000;1053;-1539;204;1457;6990;42
5000;1229;-1251;210;1447;9075;42
6000;1069;-1139;-66;1094;11438;42
7000;1485;-307;866;1218;13734;42
8000;1101;-259;393;1067;15982;42
9000;1117;-179;264;1134;18206;42
10000;957;221;362;1034;20430;42
11000;813;509;425;1251;23506;42
12000;77;781;551;1093;25978;42
13000;77;957;449;970;28202;42
14000;-83;989;434;970;30442;42
15000;-851;285;702;-167;32682;42
16000;-803;477;874;563;-30614;42
17000;-627;653;612;485;-29610;42
18000;-1107;1277;769;1189;-27722;42
19000;-1395;1437;619;1467;-25474;42
20000;-1651;1389;630;1634;-23250;42
21000;-1635;909;605;1388;-20078;42
22000;-979;93;568;829;-17574;42
23000;-931;-35;384;230;-15350;42
24000;-195;-35;246;186;-13110;42
25000;-19;-259;312;213;-10870;42
26000;-67;-451;498;840;-8750;42
27000;109;-595;451;622;-6423;42
28000;77;-819;337;733;-4338;42
29000;253;-1011;462;925;-1836;42
30000;285;-1155;395;1256;110;42
31000;637;-931;556;836;2310;42
32000;797;-1123;450;1080;4538;42
33000;893;-1059;334;1057;6778;42
34000;1021;-947;268;1079;9018;42
35000;1117;-867;288;1055;11258;42
36000;1085;-435;520;897;13606;42
37000;1117;157;879;1080;15882;42
38000;909;365;781;1063;18122;42
39000;765;109;407;803;20362;42
40000;429;93;112;556;22882;42
41000;301;397;322;587;24710;42
42000;93;621;383;661;26882;42
43000;-83;605;371;678;29090;42
44000;13;1421;332;1507;31298;42
45000;-323;1421;323;1419;-32030;42
46000;-931;1085;867;965;-29906;42
47000;-1235;1245;847;1168;-27702;42
48000;-1443;957;932;1320;-25462;42
49000;-1187;1149;336;1313;-23222;42
50000;-1283;461;681;1076;-20982;42
51000;-1299;-99;995;1117;-18946;42
52000;-1219;45;871;1089;-16786;42
53000;-1203;-163;154;770;-14562;42
54000;-771;-67;235;1008;-12338;42
55000;-723;-563;521;1088;-10114;42
56000;-483;-867;596;1255;-8046;42
57000;-307;-1203;689;1473;-5874;42
58000;-275;-1315;620;1034;-3650;42
59000;317;-1763;734;1769;-1426;42
60000;861;-1539;1112;1174;798;42
61000;1325;-1955;980;1705;2878;42
62000;1853;-1715;1352;1642;5054;42
63000;1805;-1939;717;1995;7278;42
64000;1789;-1667;540;1902;9363;42
65000;1789;-1171;390;1626;12326;42
66000;1197;-563;388;1093;14714;42
67000;1261;109;934;1164;16914;42
68000;877;-131;154;1093;19122;42
69000;845;-67;164;925;21330;42
70000;445;445;438;1088;23886;42
71000;301;797;470;435;26210;42
72000;-35;877;594;709;28430;42
73000;-403;1085;636;855;30654;42
74000;-643;1005;742;762;-32658;42
75000;-867;1181;1104;654;-30818;42
76000;-1187;1101;971;984;-28722;42
77000;-1011;1389;350;1379;-26510;42
78000;-995;1277;480;1287;-24302;42
79000;-1171;909;257;1213;-22094;42
80000;-963;749;420;969;-19658;42
81000;-979;125;634;897;-17374;42
82000;-963;-51;517;956;-15166;42
83000;-1075;-83;249;633;-12958;42
84000;-563;-435;509;1008;-10750;42
85000;-291;-739;546;959;-7846;42
86000;77;-883;593;832;-5842;42
87000;109;-979;569;854;-3606;42
88000;445;-1011;590;736;-1366;42
89000;589;-963;772;480;874;42
90000;813;-995;241;794;2466;42
91000;989;-1715;427;1471;4526;42
92000;1277;-1475;413;1507;6778;42
93000;1373;-1331;445;1467;9018;42
94000;1421;-963;464;1459;11258;42
95000;1325;-931;85;1318;13750;43
96000;1117;-451;48;1031;16110;43
97000;893;-307;78;847;18684;43
98000;669;-147;4;672;20543;43
99000;669;541;436;959;22974;43
100000;269;557;425;746;24866;43
101000;29;765;662;621;27022;43
102000;45;1261;635;1110;29156;43
103000;-291;1213;674;1005;31570;43
104000;-707;1117;673;856;-31408;42
105000;-979;925;752;673;-29044;42
106000;-1155;845;525;927;-26929;42
107000;-851;541;622;681;-24532;42
108000;-595;749;-62;715;-22276;42
109000;-883;77;643;632;-20020;42
110000;-739;-51;732;744;-18724;42
111000;-1171;157;247;1037;-16436;42
112000;-995;61;446;1033;-14311;42
113000;-915;-419;692;1207;-12196;42
114000;-627;-563;549;1012;-9448;42
115000;-115;-787;526;805;-7191;42
116000;45;-931;555;878;-4804;42
117000;29;-883;273;789;-2548;42
118000;685;-579;653;444;-292;42
119000;461;-1011;393;1105;1964;42
120000;749;-1347;538;1486;3116;42
121000;1517;-2195;558;1942;5457;42
122000;1997;-1811;863;2061;7118;42
123000;1965;-1715;684;1997;9464;42
124000;1773;-1091;439;1707;12536;41
125000;1341;141;903;1114;14972;41
126000;893;-99;542;813;17148;41
127000;685;-35;4;763;19340;41
128000;573;45;24;684;21532;41
129000;445;269;195;572;23796;42
130000;413;829;474;1000;26024;42
131000;-19;861;476;893;28232;42
132000;-51;1149;422;1311;30440;42
133000;-419;1405;498;1287;32648;42
134000;-835;1549;483;1460;-30668;41
135000;-1155;1309;810;1178;-28468;41
136000;-1283;845;899;994;-26276;41
137000;-1171;893;556;965;-24084;41
138000;-1059;285;785;787;-21755;41
139000;-1043;125;854;823;-19712;42
140000;-851;381;32;688;-17512;42
141000;-675;189;199;721;-15442;42
142000;-627;45;25;471;-13096;42
143000;-643;-355;215;950;-10888;42
144000;-355;-307;319;381;-8411;42
145000;-35;-947;556;869;-5892;42
146000;-131;-931;499;899;-3688;42
147000;669;-771;685;349;-1480;42
148000;781;-1091;647;980;590;42
149000;813;-1203;621;1041;2636;42
150000;1005;-1459;440;1474;4756;42
151000;1469;-963;1007;1178;7258;42
152000;1213;-1219;276;1405;9204;42
153000;1181;-1075;281;1246;11428;42
154000;1549;-403;712;1123;13724;42
155000;1117;-371;110;1019;16250;42
156000;1181;-179;287;1253;18196;42
